Age
68
57
61
57
58
56
34
47
38
54
54
60
56
62
40
15
66
75
70
49
39
40
52
53
39
30
62
59
47
50
78
76
21
29
36
56
67
73
66
52
45
70
76
61
46
55
68
25
23
71
41
53
63
72
34
44
46
54
41
64
89
82
81
65
50




